[INFO ] [2021-10-31 10:13:56,450] Pre-Condition - Step 01: Open browser 'Chrome'and navigate to'https://demo.nopcommerce.com/'
[INFO ] [2021-10-31 10:13:59,324] User 01_Register - Step 01: Click to Register Link 
[INFO ] [2021-10-31 10:13:59,911] User 01_Register - Step 02: Click to Gender Radio Button 
[INFO ] [2021-10-31 10:13:59,985] User 01_Register - Step 03: Input to First Name textbox:Abner
[INFO ] [2021-10-31 10:14:00,087] User 01_Register - Step 04: Input to Last Name textbox:Siba
[INFO ] [2021-10-31 10:14:00,172] User 01_Register - Step 05: Input to Email textbox:darken2366@gmail.com
[INFO ] [2021-10-31 10:14:00,266] User 01_Register - Step 06: Input to Password textbox:123123
[INFO ] [2021-10-31 10:14:00,355] User 01_Register - Step 07: Input to Confirm Password textbox:123123
[INFO ] [2021-10-31 10:14:00,457] User 01_Register - Step 08: Click on Register button
[INFO ] [2021-10-31 10:14:01,948] User 01_Register - Step 09: verify register successfully
[INFO ] [2021-10-31 10:14:01,996]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-31 10:14:01,997] User 01_Register - Step 10: Click on Logout button
[INFO ] [2021-10-31 10:14:03,641] User 02_Login - Step 01: Click on Login Link
[INFO ] [2021-10-31 10:14:04,816] User 02_Login - Step 02: Input to Email textbox:darken2366@gmail.com
[INFO ] [2021-10-31 10:14:04,891] User 02_Login - Step 03: Input to Password textbox:123123
[INFO ] [2021-10-31 10:14:04,964] User 02_Login - Step 04: Click on Login button
[INFO ] [2021-10-31 10:14:06,486] User 01_Register - Step 09: verify login successfully
[INFO ] [2021-10-31 10:14:06,540]  -------------------------- PASSED -------------------------- 
[INFO ] [2021-10-31 10:14:06,542] Post-Condition: Close browser
[INFO ] [2021-11-02 15:27:57,278] Pre-Condition - Step 01: Open browser 'Chrome' and navigate to 'https://demo.nopcommerce.com/'
[INFO ] [2021-11-02 15:28:00,665] User 01_Register - Step 01: Click to 'Register' Link 
[INFO ] [2021-11-02 15:28:02,271] User 01_Register - Step 02: Click to Gender Radio Button 
[INFO ] [2021-11-02 15:28:02,343] User 01_Register - Step 03: Input to 'First Name' textbox:Abner
